keys,zh_CN
problem.problem_dragon_location_unknown.title,巨龙巢穴未知
problem.problem_dragon_capture_window.title,巨龙捕获窗口
problem.problem_necrotic_spread.title,死灵污染蔓延
problem.problem_battlefield_corpses.title,战场尸体堆积
problem.problem_dragon_assault_pressure.title,巨龙袭击压力
contract.contract_north_road_evacuation.title,撤离北路村民
contract.contract_hold_stone_bridge.title,坚守石桥
contract.contract_escort_field_healers.title,护送战地医师
contract.contract_rescue_mining_village.title,营救矿村
contract.contract_scout_eastern_road.title,侦察东部道路
contract.contract_locate_dragon_lair.title,定位巨龙巢穴
contract.contract_investigate_necrotic_source.title,调查死灵源头
contract.contract_collect_dragon_scales.title,收集巨龙鳞片
contract.contract_deploy_binding_towers.title,部署束缚塔
contract.contract_disrupt_necrotic_ritual.title,破坏死灵仪式
contract.contract_recover_intact_corpses.title,回收完整尸体
contract.contract_prepare_dragon_bait.title,准备巨龙诱饵
action.action_free_alliance_evacuate_north_road.title,撤离北路村民
action.action_free_alliance_reinforce_stone_bridge.title,增援石桥
action.action_free_alliance_stabilize_field_camp.title,稳定战地营地
action.action_free_alliance_search_mining_village.title,搜救矿村
action.action_free_alliance_patrol_refugee_route.title,巡逻难民通道
action.action_arcane_guild_locate_dragon_lair.title,定位巨龙巢穴
action.action_arcane_guild_collect_dragon_scales.title,收集巨龙鳞片
action.action_arcane_guild_deploy_binding_towers.title,部署束缚塔
action.action_arcane_guild_ward_necrotic_spread.title,封锁死灵蔓延
action.action_arcane_guild_analyze_flight_pattern.title,分析飞行轨迹
action.action_necrotic_collective_recover_corpses.title,回收战场尸体
action.action_necrotic_collective_prepare_dragon_bait.title,准备巨龙诱饵
action.action_necrotic_collective_secure_source.title,控制死灵源头
action.action_necrotic_collective_seed_resonance.title,播种死灵共鸣
message_week_opening_summary_title,新一周开始
message_week_opening_summary_body,公会已进入新的规划周
message_contract_offer_title,收到新的合同提案
message_contract_offer_body,阵营已向公会提交一份本周可处理的合同
message_faction_action_committed_title,阵营行动已承诺
message_faction_action_committed_body,该阵营将在周末执行公开行动
message_upkeep_title,每周维护结算
message_upkeep_body,工资、治疗与公会维护已经处理
message_member_upkeep_title,成员状态更新
message_member_upkeep_body,该成员的恢复或维护状态发生变化
message_contract_lifecycle_title,合同状态变化
message_contract_lifecycle_body,一份未处理合同已进入终止状态
message_contract_result_title,合同结算完成
message_contract_result_body,任务结果与后果已经记录
message_faction_action_resolved_title,阵营行动完成
message_faction_action_resolved_body,阵营承诺的行动已经改变世界局势
message_world_event_title,世界事件
message_world_event_body,北境发生了一项新的世界事件
message_problem_changed_title,问题状态变化
message_problem_changed_body,一项世界问题的生命周期发生变化
message_problem_urgency_title,问题紧迫度更新
message_problem_urgency_body,请关注该问题的紧迫度与响应窗口
message_situation_changed_title,局势阶段变化
message_situation_changed_body,地区危机进入新的阶段或结局
reason.problem_urgency_base,该问题本身具有基础紧迫性
reason.problem_urgency_age,问题持续时间正在增加压力
reason.problem_urgency_deadline,响应期限正在逼近
reason.faction_intent_base_priority,该委托符合阵营的基础优先级
reason.faction_intent_urgency,相关问题较为紧迫
reason.faction_intent_agenda_fit,符合委托方当前目标
reason.faction_intent_repeat_penalty,近期已处理过类似目标，优先级降低
tier.exceptional,卓越
tier.success,成功
tier.partial,部分成功
tier.failure,失败
tier.severe,严重失败
common.cancel,取消
resolution.unavailable_help,完成本周结算后才能查看结果
ending.unavailable,当前没有可显示的战役结局
ending.week,战役结束于第 %d 周
ending.clocks,五条局势钟终值
ending.events,关键世界事件
ending.no_events,没有记录到玩家可见的关键世界事件
ending.problems,主要问题结果
ending.closed_week,第 %d 周结束
ending.contracts,合同历史摘要
ending.no_contracts,本局没有已归档合同
ending.factions,阵营最终关系
ending.relation,关系
ending.members,成员最终状态
ending.reasons,决定性原因
ending.no_reasons,没有额外的玩家可见原因记录
ending.new_confirm_title,开始新游戏？
ending.new_confirm_body,这将结束当前结局浏览并覆盖已有本地存档。
problem_status.active,仍在持续
problem_status.resolved,已解决
problem_status.escalated,已恶化
problem_status.closed,已关闭
contract_status.resolved,玩家完成
contract_status.declined,玩家拒绝
contract_status.expired,自然过期
contract_status.npc_completed,NPC 完成
contract_status.escalated,问题恶化
onboarding.progress,引导 %d / %d
onboarding.next,下一步
onboarding.finish,完成引导
onboarding.step_1.title,先看局势
onboarding.step_1.body,在总览查看五条局势钟和紧迫问题。它们说明北境正在向哪个结局发展。
onboarding.step_2.title,阅读三份合同
onboarding.step_2.body,进入合同页比较三个阵营的目标、报酬、剩余回合与公开条款。
onboarding.step_3.title,选择四名成员
onboarding.step_3.body,在小队页选择恰好四名成员，并留意疲劳、伤势与价值观警告。
onboarding.step_4.title,准备补给与行动倾向
onboarding.step_4.body,最多选择两份补给，再从稳健、均衡和激进中选择行动倾向。
onboarding.step_5.title,确认并结束本周
onboarding.step_5.body,接受计划后使用顶部主动作派遣队伍。若不接合同，结束本周前会再次确认。
onboarding.step_6.title,阅读结果与后果
onboarding.step_6.body,结算页会解释四个阶段、成员变化和世界后果；确认后进入下一周。
event_dragon_flight_pattern_analyzed,巨龙飞行轨迹已完成分析
event_low_quality_scales_collected,奥术工会取得了低质量龙鳞
event_binding_towers_partially_operational,部分束缚塔已经投入运行
event_dragon_lair_located,巨龙巢穴已定位
event_necrotic_spread_warded,死灵污染扩散受到结界抑制
event_free_alliance_evacuated_north_road,自由联盟完成北路撤离
event_eastern_route_secured,东部通道已经确保
event_stone_bridge_secured,石桥防线已经稳固
event_mining_survivors_recovered,矿村幸存者已被救回
event_field_camp_stabilized,战地营地已稳定
event_dragon_diverted,巨龙已被引向预定区域
event_corpses_recovered_by_collective,死灵集社取得战场尸体
event_necrotic_source_secured,死灵污染源已被控制
event_necrotic_resonance_seeded,死灵共鸣已经播种
event_dragon_killed,巨龙已经死亡
event_last_defense,北境最后防线发动决战
event_field_healers_delivered,战地医师已经抵达
event_necrotic_ritual_disrupted,死灵仪式已被破坏
event_corpses_delivered,战场尸体已完成交付
event_necrotic_spread_surged,死灵污染发生剧烈扩散
event_binding_towers_operational,束缚塔网络已经投入运行
event_mining_village_destroyed,矿村已经毁灭
event_mining_village_rescued,矿村居民已经获救
event_binding_scales_calibrated,束缚参数已用龙鳞完成校准
event_field_medical_system_failed,战地医疗体系已经崩溃
event_evacuation_line_collapsed,撤离线路已经崩溃
event_eastern_road_lost,东部道路已经失守
event_capture_window_closed,巨龙捕获窗口已经关闭
event_dragon_relocated,巨龙已经迁移巢穴
event_village_burned,一处村庄在龙袭中焚毁
event_battlefield_dead_rose,战场死者受到死灵力量影响
save.start_title,北境冒险者公会
save.start_subtitle,巨龙入侵 · V0.1
save.continue,继续游戏
save.new_game,新游戏
save.no_save,当前没有本地存档，请开始新游戏。
save.found,发现第 %d 周的本地存档。
save.corrupt,本地存档损坏或版本不兼容，无法直接继续。
save.success,战役已保存。
save.failed,保存失败，原存档未被覆盖。
save.load_failed,存档无法加载，当前战役未被替换。
save.only_planning,只能在规划阶段保存
save.button_help,保存当前规划状态
save.new_confirm_title,覆盖现有存档
save.new_confirm_body,开始新游戏会覆盖当前本地存档。是否继续？
save.new_failed,新战役创建失败。
save.recovery_title,发现备份存档
save.recovery_body,正式存档损坏，但备份通过完整验证。是否加载备份？
save.recover,加载备份
save.recovery_available,正式存档损坏，但发现一份通过验证的备份。
save.phase_not_planning,只能在规划阶段保存
toolbar.skip_confirm_title,确认跳过合同
toolbar.skip_confirm_body,本周将不接受任何合同并直接结算阵营与世界行动。此操作不可撤销。
planning.validation.no_campaign,当前没有可规划的战役
planning.validation.select_offer,请先选择一份待处理合同
planning.validation.four_members,必须选择恰好四名可出勤成员
planning.validation.two_supplies,最多选择两项不同补给
planning.validation.decline_used,本周的拒绝额度已经使用
planning.validation.member_unavailable,所选成员当前无法出勤
planning.validation.member_refuses,所选成员拒绝参与这份计划
planning.validation.supply_invalid,所选补给不存在或不适用于这份合同
planning.validation.over_budget,公会资金不足以支付所选补给
planning.validation.offer_locked,所选合同已无法接受
planning.offer_declined,已拒绝 · 本周不补位
planning.offers_heading,本周合同栏
planning.offers_help,比较委托方、锁定报酬、期限和公开风险后再制定计划。
planning.risk,风险
planning.four_phases,四阶段概要
planning.clauses,公开条款
planning.squad,派遣成员
planning.supplies,补给
planning.approach,行动倾向
planning.review,派遣确认
planning.supply_cost,补给成本
planning.likely_range,较可能结果区间
planning.plan_locked,计划已经确认且不可取消、编辑或替换
resolution.none,当前没有可查看的周结算
resolution.week_result,周结算
resolution.contract_skipped,本周明确未接受合同
resolution.reward,实际报酬
resolution.supply_cost,补给支出
resolution.sponsor_relation,委托方关系
resolution.ending,战役结局
resolution.score,判定分数
resolution.clause_met,已满足
resolution.clause_breached,未满足
approach.cautious,稳健
approach.balanced,均衡
approach.aggressive,激进
phase.approach,接近与侦察
phase.main_action,主要行动
phase.special_objective,特殊目标
phase.extraction,撤离与善后
check.navigation,寻路
check.reconnaissance,侦察
check.confrontation,交战
check.protection,保护
check.rescue,救援
check.ritual,仪式
check.salvage,收集
check.extraction,撤离
clause.importance.mandatory,强制
clause.importance.bonus,奖励
forecast.clause.expected_met,预计满足
forecast.clause.favorable,有利
forecast.clause.uncertain,不确定
forecast.clause.high_risk,高风险
forecast.clause.expected_conflict,预计冲突
forecast.clause.unknown,尚无法判断
forecast.injury.low,伤病风险低
forecast.injury.medium,伤病风险中
forecast.injury.high,伤病风险高
forecast.injury.severe,伤病风险严重
attitude.enthusiastic,热忱
attitude.supportive,支持
attitude.neutral,中立
attitude.reluctant,勉强
attitude.opposed,反对
injury_result.none,无新增伤病
injury_result.light,轻伤
injury_result.heavy,重伤
supply.medical.name,医疗包
supply.scouting.name,侦察工具
supply.protection.name,防护物资
supply.arcane_binding.name,奥术束缚器
supply.rations.name,额外口粮
state_field.gold,金币
state_field.reputation,声望
state_field.fatigue,疲劳
state_field.morale,士气
state_field.injury_severity,伤势
state_field.recovery_weeks_remaining,恢复周
state_field.is_available,可出勤状态
state_field.availability,可出勤状态
state_field.relation,阵营关系
state_field.influence,阵营影响力
state_field.clock_values,进度钟
state_field.status,状态
state_field.phase,局势阶段
state_field.ending_id,结局
state_field.contract_history,合同历史
state_field.world_events,世界事件
state_field.pending_contracts,合同栏
state_field.active_plan,活动计划
state_field.faction_action_commitments,阵营行动
state_field.value,进度
state_field.message_history,消息记录
state_field.triggered_rule_ids,已触发规则
state_field.unlocked_contract_ids,已解锁合同
state_field.world_event_ids,关联世界事件
state_target.guild,公会
state_target.campaign,战役
state_target.contract,本次合同
state_value.none,无
state_value.present,已设置
state_value.record_count,%d 条记录
contract.contract_north_road_evacuation.description,护送北路村民穿过受阻道路并控制撤离损失。
contract.contract_hold_stone_bridge.description,守住关键石桥以延缓巨龙推进并保障后续撤离。
contract.contract_escort_field_healers.description,保护战地医师与医疗物资抵达前线营地。
contract.contract_rescue_mining_village.description,进入孤立矿村并把幸存者安全带回。
contract.contract_scout_eastern_road.description,查明东部道路现状并提交可用路线情报。
contract.contract_locate_dragon_lair.description,追踪巨龙活动轨迹并确认巢穴位置。
contract.contract_investigate_necrotic_source.description,调查死灵污染的源头并取得完整证据。
contract.contract_collect_dragon_scales.description,在控制附带损失的前提下取得完整龙鳞样本。
contract.contract_deploy_binding_towers.description,部署奥术束缚塔并保持目标存活。
contract.contract_disrupt_necrotic_ritual.description,破坏死灵仪式并查明背后的操作者。
contract.contract_recover_intact_corpses.description,从战场回收完整尸体并保存奥术残留。
contract.contract_prepare_dragon_bait.description,准备诱饵把巨龙引向预定区域。
clause.road_find_usable_route.name,找到可用路线
clause.road_find_usable_route.description,必须确认一条仍可通行的东部道路。
clause.road_remain_unnoticed.name,保持隐蔽
clause.road_remain_unnoticed.description,侦察过程中不要引起敌方警戒。
clause.road_deliver_report.name,提交完整报告
clause.road_deliver_report.description,带回足以支持后续行动的路线情报。
clause.evac_no_wounded_abandoned.name,不遗弃伤员
clause.evac_no_wounded_abandoned.description,撤离途中不得留下受伤村民。
clause.evac_collateral_limit.name,控制附带损失
clause.evac_collateral_limit.description,避免撤离行动进一步破坏聚落。
clause.evac_no_heavy_injury.name,避免重伤
clause.evac_no_heavy_injury.description,队伍成员不得在行动中遭受重伤。
clause.bridge_hold_line_clause.name,守住防线
clause.bridge_hold_line_clause.description,行动结束前必须保持石桥防线。
clause.bridge_civilians_passed.name,保障平民通过
clause.bridge_civilians_passed.description,为撤离平民争取安全通行窗口。
clause.bridge_intact_bonus.name,保全石桥
clause.bridge_intact_bonus.description,若石桥保持完整则获得额外奖励。
clause.healers_deliver_supplies.name,送达医疗物资
clause.healers_deliver_supplies.description,把医疗物资完整送抵前线营地。
clause.healers_keep_team_alive.name,保障队伍安全
clause.healers_keep_team_alive.description,避免护送队出现重伤成员。
clause.healers_preserve_guild_medicine.name,节约公会药品
clause.healers_preserve_guild_medicine.description,在不额外消耗公会医疗包的情况下完成护送。
clause.mine_complete_rescue.name,完成矿村营救
clause.mine_complete_rescue.description,找到并撤出全部可救援幸存者。
clause.mine_no_survivor_abandoned.name,不遗弃幸存者
clause.mine_no_survivor_abandoned.description,不得把已经发现的幸存者留在危险区。
clause.mine_recover_reserves.name,回收矿村储备
clause.mine_recover_reserves.description,在撤离时尽量带回仍可利用的储备。
clause.lair_complete_intelligence.name,确认巢穴情报
clause.lair_complete_intelligence.description,收集足以确定巢穴位置的完整证据。
clause.lair_do_not_alert_dragon.name,不要惊动巨龙
clause.lair_do_not_alert_dragon.description,追踪过程中必须控制警戒与暴露。
clause.lair_collect_residue.name,收集奥术残留
clause.lair_collect_residue.description,带回可用于研究的巢穴残留样本。
clause.source_deliver_intact_core.name,带回完整核心
clause.source_deliver_intact_core.description,回收未受破坏的死灵污染核心。
clause.source_protect_camp.name,保护调查营地
clause.source_protect_camp.description,调查期间不得让营地遭受严重破坏。
clause.source_keep_sponsor_secret.name,保密委托方
clause.source_keep_sponsor_secret.description,不得暴露本次调查的真实委托方。
clause.scales_deliver_intact_samples.name,交付完整鳞片
clause.scales_deliver_intact_samples.description,必须交付未被严重损坏的龙鳞样本。
clause.scales_keep_target_alive.name,保持目标存活
clause.scales_keep_target_alive.description,取得样本时不得杀死目标。
clause.scales_limit_collateral.name,限制附带破坏
clause.scales_limit_collateral.description,行动不得造成过高的周边损失。
clause.binding_use_calibrated_device.name,使用校准装置
clause.binding_use_calibrated_device.description,必须携带并正确使用奥术束缚器。
clause.binding_target_alive.name,活体束缚
clause.binding_target_alive.description,束缚完成时目标必须仍然存活。
clause.binding_operation_hidden.name,隐蔽部署
clause.binding_operation_hidden.description,部署束缚塔时不得引起大范围警戒。
clause.binding_no_necromancy.name,禁止死灵术
clause.binding_no_necromancy.description,行动中不得采用死灵手段。
clause.ritual_destroy_core.name,摧毁仪式核心
clause.ritual_destroy_core.description,必须彻底破坏死灵仪式的核心。
clause.ritual_identify_operators.name,查明操作者
clause.ritual_identify_operators.description,取得能够辨认仪式操作者的证据。
clause.ritual_take_no_contamination.name,避免污染
clause.ritual_take_no_contamination.description,队伍不得带回新的死灵污染。
clause.corpse_deliver_three.name,交付三具完整尸体
clause.corpse_deliver_three.description,至少回收并交付三具结构完整的尸体。
clause.corpse_arcane_residue.name,保存奥术残留
clause.corpse_arcane_residue.description,不得破坏尸体上的关键奥术残留。
clause.corpse_keep_sponsor_secret.name,隐瞒委托来源
clause.corpse_keep_sponsor_secret.description,不得公开死灵集社参与了回收行动。
clause.bait_divert_dragon.name,成功转移巨龙
clause.bait_divert_dragon.description,必须把巨龙引向预定诱导区域。
clause.bait_no_civilian_deaths.name,避免平民死亡
clause.bait_no_civilian_deaths.description,诱导行动不得以平民伤亡为代价。
clause.bait_keep_sponsor_secret.name,隐藏委托方
clause.bait_keep_sponsor_secret.description,不得泄漏诱饵计划的真实赞助者。
ending.ending_mass_evacuation.title,大撤离
ending.ending_mass_evacuation.name,大撤离
ending.ending_mass_evacuation.description,大多数村民成功撤出北境危险区。
ending.ending_arcane_capture.title,奥术捕获
ending.ending_arcane_capture.name,奥术捕获
ending.ending_arcane_capture.description,巨龙被完整束缚并落入奥术工会掌控。
ending.ending_dragon_slain_at_cost.title,惨胜屠龙
ending.ending_dragon_slain_at_cost.name,惨胜屠龙
ending.ending_dragon_slain_at_cost.description,巨龙被击败但北境为此付出沉重代价。
ending.ending_necrotic_catastrophe.title,死灵灾变
ending.ending_necrotic_catastrophe.name,死灵灾变
ending.ending_necrotic_catastrophe.description,腐化越过临界点并吞没了北境。
attitude_ideology_fit,合同目标与成员价值观产生影响
attitude_trait_method,预期行动手段符合或违背成员性格
attitude_taboo_method,预期手段触及成员对禁忌的态度
attitude_reward_fit,报酬与成员预期产生影响
attitude_growth_fit,任务难度提供成长机会
attitude_sponsor_fit,成员对委托方关系作出反应
attitude_neglect_fit,近期冷落影响成员出勤意愿
attitude_risk_fit,任务风险影响成员出勤意愿
attitude_injury_fit,当前伤势影响成员出勤意愿
forced_opposed_assignment,成员在反对的情况下被强制派遣
capability_match,队伍能力与判定需求匹配
reason.capability_match,队伍能力与判定需求匹配
cohesion_modifier,队伍协同影响判定
reason.cohesion_modifier,队伍协同影响判定
fatigue_penalty,成员疲劳降低判定表现
reason.fatigue_penalty,成员疲劳降低判定表现
injury_penalty,成员伤势降低判定表现
reason.injury_penalty,成员伤势降低判定表现
check_difficulty,合同难度影响判定
reason.check_difficulty,合同难度影响判定
seeded_variance,行动中的不确定因素
reason.seeded_variance,行动中的不确定因素
context_modifier,先前阶段形成的任务态势影响判定
reason.context_modifier,先前阶段形成的任务态势影响判定
approach_modifier,行动倾向影响本阶段
reason.approach_modifier,行动倾向影响本阶段
member_attitude_modifier,成员态度影响本阶段
reason.member_attitude_modifier,成员态度影响本阶段
score_rounding,判定分数按规则完成舍入
reason.score_rounding,判定分数按规则完成舍入
clause_satisfied,合同条款已经满足
clause_breached,合同条款未能满足
contract_reward,合同报酬已经结算
supply_purchase,补给已购买并立即消耗
contract_sponsor_relation,合同结果改变委托方关系
contract_effect.modify_reward_percent,合同条款调整报酬比例
contract_effect.modify_sponsor_relation,合同条款调整委托方关系
contract_effect.add_outcome_tag,合同条款记录结果
sponsor_relation_delta,合同结果改变委托方关系
fatigue_unscaled,任务产生基础疲劳
fatigue_final_multiplier,最终结果修正疲劳
fatigue_delta,成员疲劳发生变化
post_mission_evaluation,成员根据实际行动评价本次任务
morale_delta,成员士气发生变化
injury_contract_risk,合同基础风险影响伤病
injury_operational_tier,行动表现影响伤病风险
injury_current_fatigue,当前疲劳增加伤病风险
injury_team_protection,队伍保护能力降低伤病风险
injury_check_risk,阶段结果改变伤病风险
injury_supply_any,补给降低一般伤病风险
injury_supply_heavy,补给降低重伤风险
injury_approach_multiplier,行动倾向修正重伤风险
injury_any_chance,伤病风险档位已经确定
injury_heavy_chance,重伤风险档位已经确定
injury_roll,成员伤病结果已确定
contract_member_fatigue,合同改变成员疲劳
contract_member_injury,合同改变成员伤势
contract_member_recovery,合同改变成员恢复时间
contract_member_availability,合同改变成员可出勤状态
contract_member_morale,合同改变成员士气
contract_resolved,合同已经完成并归档
